 Grade breakdown where there are fewer than five entries is not provided and is denoted with [c].,,,,,,,,,,,,,,,
Year,Area,Education_Authority,Centre Type,Centre ,Centre Name,Level,Title,Entries,A,B,C,AC,D,AD,NA
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Advanced,Engineering Science,6,0,1,0,16.7%,3,66.7%,2
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Advanced,English,17,4,6,3,76.5%,4,100.0%,0
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Advanced,French,4,[c],[c],[c],[c],[c],[c],[c]
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Advanced,History,17,2,6,5,76.5%,1,82.4%,3
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Advanced,Mathematics,35,25,5,1,88.6%,3,97.1%,1
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Advanced,Mathematics of Mechanics,1,[c],[c],[c],[c],[c],[c],[c]
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Advanced,Modern Studies,7,2,3,1,85.7%,0,85.7%,1
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Advanced,Music,14,8,3,3,100.0%,0,100.0%,0
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Advanced,Physics,27,8,3,9,74.1%,4,88.9%,3
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Advanced,Spanish,3,[c],[c],[c],[c],[c],[c],[c]
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Advanced,Statistics,1,[c],[c],[c],[c],[c],[c],[c]
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,Administration and IT,10,0,2,2,40.0%,1,50.0%,5
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,Applications of Mathematics,118,41,17,23,68.6%,18,83.9%,19
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,Art and Design,30,6,6,11,76.7%,5,93.3%,2
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,Biology,46,11,6,6,50.0%,9,69.6%,14
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,Business Management,15,5,4,2,73.3%,2,86.7%,2
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,Chemistry,27,12,4,3,70.4%,4,85.2%,4
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,Computing Science,26,13,5,4,84.6%,4,100.0%,0
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,Drama,12,5,3,3,91.7%,1,100.0%,0
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,Engineering Science,13,7,3,1,84.6%,0,84.6%,2
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,English,116,24,39,28,78.4%,19,94.8%,6
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,French,8,6,0,1,87.5%,1,100.0%,0
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,Geography,8,5,1,1,87.5%,0,87.5%,1
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,Graphic Communication,10,1,3,3,70.0%,3,100.0%,0
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,History,20,6,2,5,65.0%,3,80.0%,4
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,Mathematics,73,28,8,8,60.3%,6,68.5%,23
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,Modern Studies,57,21,12,6,68.4%,9,84.2%,9
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,Music,17,5,5,5,88.2%,2,100.0%,0
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,Physical Education,42,15,9,12,85.7%,5,97.6%,1
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,Physics,28,6,12,3,75.0%,5,92.9%,2
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,Practical Cookery,37,11,11,9,83.8%,3,91.9%,3
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,Practical Woodworking,17,3,7,6,94.1%,1,100.0%,0
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,"Religious, Moral and Philosophical Studies",7,2,1,3,85.7%,0,85.7%,1
